,0
196,"2, 14520, Note_off_c, 0, 56, 80
"
197,"2, 14520, Note_on_c, 0, 52, 111
"
198,"2, 14640, Note_off_c, 0, 52, 80
"
199,"2, 14640, Note_on_c, 0, 59, 111
"
200,"2, 14760, Note_off_c, 0, 59, 80
"
201,"2, 14760, Note_on_c, 0, 56, 127
"
202,"2, 14880, Note_off_c, 0, 56, 80
"
203,"2, 14880, Note_on_c, 0, 64, 111
"
204,"2, 15360, Note_off_c, 0, 64, 80
"
205,"2, 15360, Note_on_c, 0, 64, 111
"
206,"2, 15360, Note_on_c, 0, 58, 111
"
207,"2, 15360, Note_on_c, 0, 49, 111
"
208,"2, 15840, Note_off_c, 0, 64, 80
"
209,"2, 15840, Note_off_c, 0, 58, 80
"
210,"2, 15840, Note_off_c, 0, 49, 80
"
211,"2, 15840, Note_on_c, 0, 64, 111
"
212,"2, 15840, Note_on_c, 0, 61, 111
"
213,"2, 15840, Note_on_c, 0, 46, 127
"
214,"2, 16320, Note_off_c, 0, 64, 80
"
215,"2, 16320, Note_off_c, 0, 61, 80
"
216,"2, 16320, Note_off_c, 0, 46, 80
"
217,"2, 16320, Note_on_c, 0, 64, 111
"
218,"2, 16320, Note_on_c, 0, 61, 111
"
219,"2, 16800, Note_off_c, 0, 64, 80
"
220,"2, 16800, Note_off_c, 0, 61, 80
"
221,"2, 16800, Note_on_c, 0, 63, 111
"
222,"2, 16800, Note_on_c, 0, 59, 111
"
223,"2, 17280, Note_off_c, 0, 63, 80
"
224,"2, 17280, Note_off_c, 0, 59, 80
"
225,"2, 17280, Note_on_c, 0, 75, 111
"
226,"2, 17400, Note_off_c, 0, 75, 80
"
227,"2, 17400, Note_on_c, 0, 69, 111
"
228,"2, 17520, Note_off_c, 0, 69, 80
"
229,"2, 17520, Note_on_c, 0, 78, 111
"
230,"2, 17640, Note_off_c, 0, 78, 80
"
231,"2, 17640, Note_on_c, 0, 75, 111
"
232,"2, 17760, Note_off_c, 0, 75, 80
"
233,"2, 17760, Note_on_c, 0, 81, 111
"
234,"2, 18240, Note_off_c, 0, 81, 80
"
235,"2, 18240, Note_on_c, 0, 69, 111
"
236,"2, 18240, Note_on_c, 0, 63, 111
"
237,"2, 18240, Note_on_c, 0, 59, 111
"
238,"2, 18240, Note_on_c, 0, 47, 127
"
239,"2, 18720, Note_off_c, 0, 69, 80
"
240,"2, 18720, Note_off_c, 0, 63, 80
"
241,"2, 18720, Note_off_c, 0, 59, 80
"
242,"2, 18720, Note_off_c, 0, 47, 80
"
243,"2, 18720, Note_on_c, 0, 63, 111
"
244,"2, 18840, Note_off_c, 0, 63, 80
"
245,"2, 18840, Note_on_c, 0, 57, 111
"
246,"2, 18960, Note_off_c, 0, 57, 80
"
247,"2, 18960, Note_on_c, 0, 66, 111
"
248,"2, 19080, Note_off_c, 0, 66, 80
"
249,"2, 19080, Note_on_c, 0, 63, 111
"
250,"2, 19200, Note_off_c, 0, 63, 80
"
251,"2, 19200, Note_on_c, 0, 69, 111
"
252,"2, 19680, Note_off_c, 0, 69, 80
"
253,"2, 19680, Note_on_c, 0, 59, 111
"
254,"2, 19680, Note_on_c, 0, 57, 111
"
255,"2, 19680, Note_on_c, 0, 51, 111
"
256,"2, 19680, Note_on_c, 0, 47, 111
"
257,"2, 20160, Note_off_c, 0, 59, 80
"
258,"2, 20160, Note_off_c, 0, 57, 80
"
259,"2, 20160, Note_off_c, 0, 51, 80
"
260,"2, 20160, Note_off_c, 0, 47, 80
"
261,"2, 20160, Note_on_c, 0, 57, 111
"
